"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","52076","Activity Type_Newly created Activity type should be displayed in Activity dropdown","chromium","Wed Aug 27 07:26:25 UTC 2025","failed","Wed Aug 27 07:27:17 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","102122","Activity Type_Quick Search for each column","chromium","Wed Aug 27 07:24:16 UTC 2025","passed","Wed Aug 27 07:25:58 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","48424","Activity Type_Edit Existing Record and Validate details","chromium","Wed Aug 27 07:23:28 UTC 2025","passed","Wed Aug 27 07:24:16 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","29989","Activity Type_Create Activity Type with Mandatory fields","chromium","Wed Aug 27 07:24:04 UTC 2025","passed","Wed Aug 27 07:24:34 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","360397","Activity Type_User should not be able to Delete System Activity Type","chromium","Wed Aug 27 07:24:34 UTC 2025","broken","Wed Aug 27 07:30:34 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","27067","Activity Type_Validate Page Controls","chromium","Wed Aug 27 07:25:58 UTC 2025","passed","Wed Aug 27 07:26:25 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","62554","@pageloadtests Activity Type_Navigate to Admin_MasterFiles_ActivityType","chromium","Wed Aug 27 07:22:25 UTC 2025","passed","Wed Aug 27 07:23:28 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","77931","Activity Type_Add New Record and Validate details","chromium","Wed Aug 27 07:22:25 UTC 2025","passed","Wed Aug 27 07:23:43 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","21136","Activity Type_Validate Mandatory fields","chromium","Wed Aug 27 07:23:43 UTC 2025","passed","Wed Aug 27 07:24:04 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
