"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57136","Activity Template_Edit details","chromium","Tue Aug 26 07:47:02 UTC 2025","passed","Tue Aug 26 07:47:59 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","14826","Activity Template_Validate Maintain Communication Template Field","chromium","Tue Aug 26 07:47:45 UTC 2025","failed","Tue Aug 26 07:48:00 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","26836","@pageloadtests Activity Template_Navigate to Admin_MasterFiles_ActivityTemplate","chromium","Tue Aug 26 07:47:02 UTC 2025","passed","Tue Aug 26 07:47:29 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","26182","Activity Template_Validate Mandatory fields","chromium","Tue Aug 26 07:47:02 UTC 2025","passed","Tue Aug 26 07:47:28 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","29065","Activity Template_Create Activity template with Only Mandatory fields","chromium","Tue Aug 26 07:47:28 UTC 2025","passed","Tue Aug 26 07:47:57 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","43353","Activity Template_Add New Record and Validate details","chromium","Tue Aug 26 07:47:02 UTC 2025","passed","Tue Aug 26 07:47:45 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","27628","Activity Template_Validate Delete Activty template","chromium","Tue Aug 26 07:47:59 UTC 2025","passed","Tue Aug 26 07:48:27 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","133440","Activity Template_Quick Search for each column","chromium","Tue Aug 26 07:47:57 UTC 2025","passed","Tue Aug 26 07:50:10 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","361782","Activity Template_Validate Maintain Reports Field","chromium","Tue Aug 26 07:47:29 UTC 2025","broken","Tue Aug 26 07:53:30 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","19881","Activity Template_Validate Page Controls","chromium","Tue Aug 26 07:48:01 UTC 2025","passed","Tue Aug 26 07:48:21 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
