"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33890","Activity Template_Create Activity template with Only Mandatory fields","chromium","Tue Aug 26 06:12:11 UTC 2025","passed","Tue Aug 26 06:12:45 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","37106","Activity Template_Validate Mandatory fields","chromium","Tue Aug 26 06:11:35 UTC 2025","passed","Tue Aug 26 06:12:12 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","65176","Activity Template_Edit details","chromium","Tue Aug 26 06:11:35 UTC 2025","passed","Tue Aug 26 06:12:40 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","16997","Activity Template_Validate Maintain Communication Template Field","chromium","Tue Aug 26 06:12:30 UTC 2025","failed","Tue Aug 26 06:12:47 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","362175","Activity Template_Validate Maintain Reports Field","chromium","Tue Aug 26 06:12:12 UTC 2025","broken","Tue Aug 26 06:18:14 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","28646","Activity Template_Validate Delete Activty template","chromium","Tue Aug 26 06:12:45 UTC 2025","passed","Tue Aug 26 06:13:13 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","133447","Activity Template_Quick Search for each column","chromium","Tue Aug 26 06:12:40 UTC 2025","passed","Tue Aug 26 06:14:53 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","36077","@pageloadtests Activity Template_Navigate to Admin_MasterFiles_ActivityTemplate","chromium","Tue Aug 26 06:11:35 UTC 2025","passed","Tue Aug 26 06:12:11 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","21017","Activity Template_Validate Page Controls","chromium","Tue Aug 26 06:12:48 UTC 2025","passed","Tue Aug 26 06:13:09 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","55890","Activity Template_Add New Record and Validate details","chromium","Tue Aug 26 06:11:35 UTC 2025","passed","Tue Aug 26 06:12:30 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
