"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","79065","Activity Template_Edit details","chromium","Tue Aug 26 05:33:24 UTC 2025","passed","Tue Aug 26 05:34:43 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","155016","Activity Template_Quick Search for each column","chromium","Tue Aug 26 05:34:52 UTC 2025","passed","Tue Aug 26 05:37:27 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","23257","Activity Template_Validate Page Controls","chromium","Tue Aug 26 05:35:54 UTC 2025","passed","Tue Aug 26 05:36:18 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","49663","@pageloadtests Activity Template_Navigate to Admin_MasterFiles_ActivityTemplate","chromium","Tue Aug 26 05:33:24 UTC 2025","passed","Tue Aug 26 05:34:13 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","360634","Activity Template_Add New Record and Validate details","chromium","Tue Aug 26 05:33:24 UTC 2025","broken","Tue Aug 26 05:39:24 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","46638","Activity Template_Validate Mandatory fields","chromium","Tue Aug 26 05:33:24 UTC 2025","passed","Tue Aug 26 05:34:10 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","361619","Activity Template_Validate Maintain Reports Field","chromium","Tue Aug 26 05:34:13 UTC 2025","broken","Tue Aug 26 05:40:15 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","42048","Activity Template_Create Activity template with Only Mandatory fields","chromium","Tue Aug 26 05:34:10 UTC 2025","passed","Tue Aug 26 05:34:52 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","31892","Activity Template_Validate Delete Activty template","chromium","Tue Aug 26 05:35:23 UTC 2025","passed","Tue Aug 26 05:35:54 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","38991","Activity Template_Validate Maintain Communication Template Field","chromium","Tue Aug 26 05:34:43 UTC 2025","failed","Tue Aug 26 05:35:22 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
