"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23668","Activity Type_Create Activity Type with Mandatory fields","chromium","Tue Aug 26 07:28:24 UTC 2025","passed","Tue Aug 26 07:28:47 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","15196","Activity Type_Validate Page Controls","chromium","Tue Aug 26 07:29:05 UTC 2025","passed","Tue Aug 26 07:29:20 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","58386","Activity Type_Add New Record and Validate details","chromium","Tue Aug 26 07:27:13 UTC 2025","passed","Tue Aug 26 07:28:11 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","90087","Activity Type_Quick Search for each column","chromium","Tue Aug 26 07:28:38 UTC 2025","passed","Tue Aug 26 07:30:08 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","42609","@pageloadtests Activity Type_Navigate to Admin_MasterFiles_ActivityType","chromium","Tue Aug 26 07:27:13 UTC 2025","passed","Tue Aug 26 07:27:56 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","12451","Activity Type_Validate Mandatory fields","chromium","Tue Aug 26 07:28:11 UTC 2025","passed","Tue Aug 26 07:28:24 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","42086","Activity Type_Edit Existing Record and Validate details","chromium","Tue Aug 26 07:27:56 UTC 2025","passed","Tue Aug 26 07:28:38 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","361780","Activity Type_Newly created Activity type should be displayed in Activity dropdown","chromium","Tue Aug 26 07:29:20 UTC 2025","broken","Tue Aug 26 07:35:22 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","17808","Activity Type_User should not be able to Delete System Activity Type","chromium","Tue Aug 26 07:28:47 UTC 2025","passed","Tue Aug 26 07:29:05 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
