"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29730","Create New Activity_With Expected Payments","chromium","Tue Aug 26 11:21:43 UTC 2025","failed","Tue Aug 26 11:22:13 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","22264","Create New Activity_With Voice Message--(Not implemented yet)","chromium","Tue Aug 26 11:22:14 UTC 2025","failed","Tue Aug 26 11:22:36 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","20882","Create New Activity_With followup, email and attachament","chromium","Tue Aug 26 11:22:37 UTC 2025","failed","Tue Aug 26 11:22:58 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","58171","Create New Activity_With email only (without template)","chromium","Tue Aug 26 11:20:44 UTC 2025","failed","Tue Aug 26 11:21:42 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","24429","Create New Activity_Cancel btn","chromium","Tue Aug 26 11:22:16 UTC 2025","failed","Tue Aug 26 11:22:41 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","33773","Create New Activity_With Notes","chromium","Tue Aug 26 11:21:43 UTC 2025","failed","Tue Aug 26 11:22:17 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","22225","Create New Activity_With Notes, Expected payments and email","chromium","Tue Aug 26 11:22:42 UTC 2025","failed","Tue Aug 26 11:23:04 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","57640","Create New Activity_With followup only","chromium","Tue Aug 26 11:20:44 UTC 2025","failed","Tue Aug 26 11:21:42 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","57659","Create New Activity_With email template","chromium","Tue Aug 26 11:20:44 UTC 2025","failed","Tue Aug 26 11:21:42 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","57838","Create New Activity_forward email","chromium","Tue Aug 26 11:20:44 UTC 2025","failed","Tue Aug 26 11:21:42 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","24622","Create New Activity_With Notes and save it as Draft","chromium","Tue Aug 26 11:22:18 UTC 2025","failed","Tue Aug 26 11:22:43 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","21168","Create New Activity_With Notes, Add contacts and Tagged Invoices","chromium","Tue Aug 26 11:22:38 UTC 2025","failed","Tue Aug 26 11:22:59 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","30250","Create New Activity_With Attachments","chromium","Tue Aug 26 11:21:43 UTC 2025","failed","Tue Aug 26 11:22:13 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","22460","Create New Activity_With Text Only--(Not implemented yet)","chromium","Tue Aug 26 11:22:14 UTC 2025","failed","Tue Aug 26 11:22:37 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","31485","Create New Activity_With Transactions","chromium","Tue Aug 26 11:21:43 UTC 2025","failed","Tue Aug 26 11:22:15 UTC 2025","","React_CreateNewActivity.spec.js","",""
