"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","130744","Activity Template_Quick Search for each column","chromium","Tue Aug 26 06:46:27 UTC 2025","passed","Tue Aug 26 06:48:37 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","49651","Activity Template_Add New Record and Validate details","chromium","Tue Aug 26 06:44:40 UTC 2025","passed","Tue Aug 26 06:45:30 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","40673","Activity Template_Edit details","chromium","Tue Aug 26 06:45:13 UTC 2025","passed","Tue Aug 26 06:45:54 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","25157","Activity Template_Create Activity template with Only Mandatory fields","chromium","Tue Aug 26 06:45:44 UTC 2025","passed","Tue Aug 26 06:46:09 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","17100","Activity Template_Validate Maintain Communication Template Field","chromium","Tue Aug 26 06:46:09 UTC 2025","failed","Tue Aug 26 06:46:26 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","30439","Activity Template_Validate Delete Activty template","chromium","Tue Aug 26 06:48:37 UTC 2025","passed","Tue Aug 26 06:49:08 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","13683","Activity Template_Validate Mandatory fields","chromium","Tue Aug 26 06:45:30 UTC 2025","passed","Tue Aug 26 06:45:44 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","17145","Activity Template_Validate Page Controls","chromium","Tue Aug 26 06:49:08 UTC 2025","passed","Tue Aug 26 06:49:25 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","362654","Activity Template_Validate Maintain Reports Field","chromium","Tue Aug 26 06:45:54 UTC 2025","broken","Tue Aug 26 06:51:56 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","32793","@pageloadtests Activity Template_Navigate to Admin_MasterFiles_ActivityTemplate","chromium","Tue Aug 26 06:44:40 UTC 2025","passed","Tue Aug 26 06:45:13 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
