"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14816","@pageloadtests Activity Type_Navigate to Admin_MasterFiles_ActivityType","chromium","Fri Sep 05 13:35:19 UTC 2025","passed","Fri Sep 05 13:35:34 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","15132","Activity Type_Validate Page Controls","chromium","Fri Sep 05 13:39:10 UTC 2025","passed","Fri Sep 05 13:39:26 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","25259","Activity Type_Create Activity Type with Mandatory fields","chromium","Fri Sep 05 13:36:53 UTC 2025","passed","Fri Sep 05 13:37:18 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","36067","Activity Type_Edit Existing Record and Validate details","chromium","Fri Sep 05 13:36:05 UTC 2025","passed","Fri Sep 05 13:36:41 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","20984","Activity Type_User should not be able to Delete System Activity Type","chromium","Fri Sep 05 13:38:49 UTC 2025","failed","Fri Sep 05 13:39:10 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","55870","Activity Type_Newly created Activity type should be displayed in Activity dropdown","chromium","Fri Sep 05 13:39:26 UTC 2025","passed","Fri Sep 05 13:40:22 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","90267","Activity Type_Quick Search for each column","chromium","Fri Sep 05 13:37:18 UTC 2025","passed","Fri Sep 05 13:38:49 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","31011","Activity Type_Add New Record and Validate details","chromium","Fri Sep 05 13:35:34 UTC 2025","passed","Fri Sep 05 13:36:05 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","12606","Activity Type_Validate Mandatory fields","chromium","Fri Sep 05 13:36:41 UTC 2025","passed","Fri Sep 05 13:36:53 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
