"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12192","Activity Type_Validate Mandatory fields","chromium","Wed Aug 27 06:37:05 UTC 2025","passed","Wed Aug 27 06:37:18 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","361449","Activity Type_Newly created Activity type should be displayed in Activity dropdown","chromium","Wed Aug 27 06:38:14 UTC 2025","broken","Wed Aug 27 06:44:15 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","38917","Activity Type_Edit Existing Record and Validate details","chromium","Wed Aug 27 06:36:50 UTC 2025","passed","Wed Aug 27 06:37:29 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","30146","@pageloadtests Activity Type_Navigate to Admin_MasterFiles_ActivityType","chromium","Wed Aug 27 06:36:19 UTC 2025","passed","Wed Aug 27 06:36:50 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","15486","Activity Type_Validate Page Controls","chromium","Wed Aug 27 06:37:58 UTC 2025","passed","Wed Aug 27 06:38:14 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","90841","Activity Type_Quick Search for each column","chromium","Wed Aug 27 06:37:29 UTC 2025","passed","Wed Aug 27 06:38:59 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","17062","Activity Type_User should not be able to Delete System Activity Type","chromium","Wed Aug 27 06:37:41 UTC 2025","passed","Wed Aug 27 06:37:58 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","23407","Activity Type_Create Activity Type with Mandatory fields","chromium","Wed Aug 27 06:37:18 UTC 2025","passed","Wed Aug 27 06:37:41 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","45959","Activity Type_Add New Record and Validate details","chromium","Wed Aug 27 06:36:19 UTC 2025","passed","Wed Aug 27 06:37:05 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
