"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19615","Activity Type_User should not be able to Delete System Activity Type","chromium","Wed Aug 27 05:45:27 UTC 2025","passed","Wed Aug 27 05:45:47 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","53407","Activity Type_Add New Record and Validate details","chromium","Wed Aug 27 05:43:58 UTC 2025","passed","Wed Aug 27 05:44:52 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","12357","Activity Type_Validate Mandatory fields","chromium","Wed Aug 27 05:44:52 UTC 2025","passed","Wed Aug 27 05:45:04 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","361498","Activity Type_Newly created Activity type should be displayed in Activity dropdown","chromium","Wed Aug 27 05:58:06 UTC 2025","broken","Wed Aug 27 06:04:08 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","91966","Activity Type_Quick Search for each column","chromium","Wed Aug 27 05:45:17 UTC 2025","passed","Wed Aug 27 05:46:49 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","14756","Activity Type_Validate Page Controls","chromium","Wed Aug 27 05:45:47 UTC 2025","passed","Wed Aug 27 05:46:01 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","22979","Activity Type_Create Activity Type with Mandatory fields","chromium","Wed Aug 27 05:45:04 UTC 2025","passed","Wed Aug 27 05:45:27 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","41146","Activity Type_Edit Existing Record and Validate details","chromium","Wed Aug 27 05:44:36 UTC 2025","passed","Wed Aug 27 05:45:17 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","37551","@pageloadtests Activity Type_Navigate to Admin_MasterFiles_ActivityType","chromium","Wed Aug 27 05:43:58 UTC 2025","passed","Wed Aug 27 05:44:36 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
