"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","56933","Create New Activity_Cancel btn","chromium","Tue Aug 26 12:30:18 UTC 2025","passed","Tue Aug 26 12:31:15 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","46095","Create New Activity_With Expected Payments","chromium","Tue Aug 26 12:28:53 UTC 2025","passed","Tue Aug 26 12:29:39 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","37221","Create New Activity_With Text Only--(Not implemented yet)","chromium","Tue Aug 26 12:29:56 UTC 2025","failed","Tue Aug 26 12:30:33 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","106631","Create New Activity_With followup, email and attachament","chromium","Tue Aug 26 12:31:15 UTC 2025","failed","Tue Aug 26 12:33:01 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","51944","Create New Activity_With Notes, Add contacts and Tagged Invoices","chromium","Tue Aug 26 12:31:33 UTC 2025","passed","Tue Aug 26 12:32:25 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","81823","Create New Activity_With followup only","chromium","Tue Aug 26 12:26:51 UTC 2025","passed","Tue Aug 26 12:28:13 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","51346","Create New Activity_With Attachments","chromium","Tue Aug 26 12:28:13 UTC 2025","passed","Tue Aug 26 12:29:04 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","59814","Create New Activity_With Notes and save it as Draft","chromium","Tue Aug 26 12:30:34 UTC 2025","passed","Tue Aug 26 12:31:33 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","121558","Create New Activity_With email only (without template)","chromium","Tue Aug 26 12:26:51 UTC 2025","passed","Tue Aug 26 12:28:53 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","360681","Create New Activity_forward email","chromium","Tue Aug 26 12:26:51 UTC 2025","broken","Tue Aug 26 12:32:52 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","362165","Create New Activity_With Transactions","chromium","Tue Aug 26 12:29:04 UTC 2025","broken","Tue Aug 26 12:35:07 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","81211","Create New Activity_With Notes, Expected payments and email","chromium","Tue Aug 26 12:32:25 UTC 2025","passed","Tue Aug 26 12:33:47 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","128048","Create New Activity_With email template","chromium","Tue Aug 26 12:26:51 UTC 2025","passed","Tue Aug 26 12:28:59 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","56429","Create New Activity_With Notes","chromium","Tue Aug 26 12:28:59 UTC 2025","passed","Tue Aug 26 12:29:56 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","38178","Create New Activity_With Voice Message--(Not implemented yet)","chromium","Tue Aug 26 12:29:39 UTC 2025","failed","Tue Aug 26 12:30:17 UTC 2025","","React_CreateNewActivity.spec.js","",""
