"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23085","@pageloadtests Activity Type_Navigate to Admin_MasterFiles_ActivityType","chromium","Tue Aug 26 03:23:18 UTC 2025","passed","Tue Aug 26 03:23:41 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","16722","Activity Type_User should not be able to Delete System Activity Type","chromium","Tue Aug 26 03:24:00 UTC 2025","passed","Tue Aug 26 03:24:17 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","26993","Activity Type_Validate Mandatory fields","chromium","Tue Aug 26 03:23:18 UTC 2025","passed","Tue Aug 26 03:23:45 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","361398","Activity Type_Newly created Activity type should be displayed in Activity dropdown","chromium","Tue Aug 26 03:24:10 UTC 2025","broken","Tue Aug 26 03:30:11 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","42942","Activity Type_Add New Record and Validate details","chromium","Tue Aug 26 03:23:18 UTC 2025","passed","Tue Aug 26 03:24:00 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","52087","Activity Type_Edit Existing Record and Validate details","chromium","Tue Aug 26 03:23:18 UTC 2025","passed","Tue Aug 26 03:24:10 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","25197","Activity Type_Create Activity Type with Mandatory fields","chromium","Tue Aug 26 03:23:41 UTC 2025","passed","Tue Aug 26 03:24:06 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","15735","Activity Type_Validate Page Controls","chromium","Tue Aug 26 03:24:06 UTC 2025","passed","Tue Aug 26 03:24:22 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","92889","Activity Type_Quick Search for each column","chromium","Tue Aug 26 03:23:45 UTC 2025","passed","Tue Aug 26 03:25:17 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
