"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16146","Activity Type_Validate Page Controls","chromium","Tue Aug 26 08:39:16 UTC 2025","passed","Tue Aug 26 08:39:32 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","361725","Activity Type_Newly created Activity type should be displayed in Activity dropdown","chromium","Tue Aug 26 08:39:32 UTC 2025","broken","Tue Aug 26 08:45:34 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","24822","@pageloadtests Activity Type_Navigate to Admin_MasterFiles_ActivityType","chromium","Tue Aug 26 08:38:26 UTC 2025","passed","Tue Aug 26 08:38:51 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","360393","Activity Type_Quick Search for each column","chromium","Tue Aug 26 08:39:06 UTC 2025","broken","Tue Aug 26 08:45:07 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","49298","Activity Type_Edit Existing Record and Validate details","chromium","Tue Aug 26 08:38:26 UTC 2025","passed","Tue Aug 26 08:39:16 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","18186","Activity Type_User should not be able to Delete System Activity Type","chromium","Tue Aug 26 08:39:16 UTC 2025","passed","Tue Aug 26 08:39:34 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","24580","Activity Type_Create Activity Type with Mandatory fields","chromium","Tue Aug 26 08:38:51 UTC 2025","passed","Tue Aug 26 08:39:16 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","40181","Activity Type_Add New Record and Validate details","chromium","Tue Aug 26 08:38:26 UTC 2025","passed","Tue Aug 26 08:39:06 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","360590","Activity Type_Validate Mandatory fields","chromium","Tue Aug 26 08:38:26 UTC 2025","broken","Tue Aug 26 08:44:27 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
