"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","111090","TC_06 Create Activity Against Activity with Expected payment details","chromium","Fri Sep 05 10:11:25 UTC 2025","passed","Fri Sep 05 10:13:16 UTC 2025","","InqByUser_Activities_Act_Against_Act.spec.js","",""
"","113569","TC_07 Create Activity Against Activity by combining notes and email","chromium","Fri Sep 05 10:13:16 UTC 2025","passed","Fri Sep 05 10:15:10 UTC 2025","","InqByUser_Activities_Act_Against_Act.spec.js","",""
"","118046","TC_02 Create Activity Against Activity with email","chromium","Fri Sep 05 10:03:43 UTC 2025","failed","Fri Sep 05 10:05:41 UTC 2025","","InqByUser_Activities_Act_Against_Act.spec.js","",""
"","119603","TC_03 Create Activity Against Activity with Email(without template)","chromium","Fri Sep 05 10:05:42 UTC 2025","passed","Fri Sep 05 10:07:42 UTC 2025","","InqByUser_Activities_Act_Against_Act.spec.js","",""
"","119566","TC_05 Create Activity Against Activity with Followup details","chromium","Fri Sep 05 10:09:26 UTC 2025","passed","Fri Sep 05 10:11:25 UTC 2025","","InqByUser_Activities_Act_Against_Act.spec.js","",""
"","104024","TC_04 Create Activity Against Activity with Attachments","chromium","Fri Sep 05 10:07:42 UTC 2025","passed","Fri Sep 05 10:09:26 UTC 2025","","InqByUser_Activities_Act_Against_Act.spec.js","",""
"","104785","TC_01 Create Activity Against Activity with notes","chromium","Fri Sep 05 10:01:58 UTC 2025","passed","Fri Sep 05 10:03:43 UTC 2025","","InqByUser_Activities_Act_Against_Act.spec.js","",""
"","136761","TC_08 Create Activity Against Activity by combining attachments, email and followup","chromium","Fri Sep 05 10:15:10 UTC 2025","passed","Fri Sep 05 10:17:27 UTC 2025","","InqByUser_Activities_Act_Against_Act.spec.js","",""
