"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49465","@pageloadtests Activity Type_Navigate to Admin_MasterFiles_ActivityType","chromium","Tue Aug 26 07:05:39 UTC 2025","passed","Tue Aug 26 07:06:28 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","79524","Activity Type_Edit Existing Record and Validate details","chromium","Tue Aug 26 07:05:39 UTC 2025","passed","Tue Aug 26 07:06:58 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","62317","Activity Type_Validate Mandatory fields","chromium","Tue Aug 26 07:05:39 UTC 2025","passed","Tue Aug 26 07:06:41 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","106876","Activity Type_Quick Search for each column","chromium","Tue Aug 26 07:06:41 UTC 2025","passed","Tue Aug 26 07:08:28 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","35767","Activity Type_Create Activity Type with Mandatory fields","chromium","Tue Aug 26 07:06:28 UTC 2025","passed","Tue Aug 26 07:07:04 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","28850","Activity Type_Validate Page Controls","chromium","Tue Aug 26 07:07:04 UTC 2025","passed","Tue Aug 26 07:07:33 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","362399","Activity Type_Add New Record and Validate details","chromium","Tue Aug 26 07:05:39 UTC 2025","broken","Tue Aug 26 07:11:41 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","37128","Activity Type_User should not be able to Delete System Activity Type","chromium","Tue Aug 26 07:06:58 UTC 2025","failed","Tue Aug 26 07:07:35 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","51585","Activity Type_Newly created Activity type should be displayed in Activity dropdown","chromium","Tue Aug 26 07:07:33 UTC 2025","failed","Tue Aug 26 07:08:24 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
